lat,lon,DNI_1,DNI_2,DNI_3,DNI_4,DNI_5,DNI_6,DNI_7,DNI_8,DNI_9,DNI_10,DNI_11,DNI_12,GHI_1,GHI_2,GHI_3,GHI_4,GHI_5,GHI_6,GHI_7,GHI_8,GHI_9,GHI_10,GHI_11,GHI_12,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,W_1,W_2,W_3,W_4,W_5,W_6,W_7,W_8,W_9,W_10,W_11,W_12
-24.5,157.5,6.3372,5.753,5.3894,5.4946,5.0798,4.4746,5.045,6.0206,6.6694,6.5815,7.0817,6.5642,7.2398,6.5081,5.6527,4.8682,3.965,3.3535,3.7188,4.7122,5.8661,6.7135,7.4496,7.3121,25.25,25.81,25.31,24.25,22.75,21.54,20.59,20.19,20.76,21.72,22.94,24.3,7.3,7.72,8.01,7.67,6.99,7.34,6.86,6.3,6.21,6.55,6.56,6.78
-23.5,157.5,6.2009,5.7547,5.3059,5.5644,5.1067,4.5506,5.1526,6.066,6.7776,6.6895,7.0884,6.6948,7.1724,6.5482,5.6602,4.9536,4.0524,3.4548,3.8424,4.7947,5.9947,6.7706,7.4698,7.3656,25.61,26.11,25.67,24.52,23.09,21.89,20.91,20.5,21.08,22.09,23.32,24.63,7.32,7.62,8.15,7.77,7.07,7.35,6.9,6.27,6.17,6.53,6.62,6.73
-22.5,157.5,6.2052,5.7859,5.2126,5.5022,5.0957,4.5794,5.2018,6.0206,6.888,6.7402,7.0313,6.6874,7.1479,6.5899,5.6772,4.9901,4.1386,3.5441,3.9478,4.8734,6.0814,6.851,7.4462,7.3654,25.91,26.41,26.02,24.86,23.43,22.28,21.27,20.87,21.44,22.46,23.71,25.01,7.25,7.51,8.17,7.92,7.2,7.46,7.02,6.4,6.26,6.58,6.73,6.73
-21.5,157.5,6.1949,5.8322,5.1552,5.4941,5.0743,4.5386,5.1742,5.9062,6.8914,6.7882,7.092,6.7082,7.0882,6.6454,5.6743,5.0623,4.207,3.6079,4.0188,4.8919,6.143,6.9122,7.469,7.3733,26.2,26.71,26.36,25.25,23.82,22.69,21.68,21.28,21.85,22.82,24.02,25.36,7.17,7.32,8.12,8.03,7.34,7.63,7.22,6.61,6.47,6.74,6.86,6.72
-20.5,157.5,6.1608,5.8519,5.0196,5.3566,4.9462,4.4376,5.1108,5.7326,6.7306,6.5887,6.9283,6.7644,7.0627,6.6403,5.6635,5.0664,4.2295,3.6317,4.0586,4.8979,6.1445,6.858,7.3927,7.3762,26.53,26.99,26.76,25.68,24.28,23.16,22.17,21.77,22.29,23.26,24.41,25.7,7.03,7.13,8.03,8.12,7.55,7.86,7.54,6.91,6.77,6.98,7.03,6.71
-19.5,157.5,5.7974,5.4725,4.685,4.9351,4.6776,4.3135,4.9109,5.3107,6.3134,6.2134,6.3972,6.2981,6.9886,6.5714,5.6268,5.0659,4.2672,3.7037,4.1062,4.9037,6.1399,6.8218,7.2482,7.2638,26.9,27.31,27.16,26.15,24.81,23.74,22.71,22.32,22.79,23.76,24.91,26.14,6.9,6.94,7.85,8.18,7.76,8.1,7.9,7.28,7.15,7.25,7.2,6.75
-18.5,157.5,5.5094,5.2579,4.5511,4.705,4.4882,4.0865,4.6486,4.9733,5.9842,5.9153,6.0254,6.0672,6.821,6.4781,5.592,5.0347,4.2742,3.6984,4.0814,4.8276,6.0614,6.6859,7.0399,7.0946,27.23,27.62,27.51,26.6,25.34,24.33,23.31,22.91,23.37,24.34,25.47,26.6,6.77,6.69,7.6,8.15,7.93,8.33,8.26,7.64,7.54,7.52,7.37,6.78
-17.5,157.5,5.3201,5.2188,4.6114,4.6382,4.3171,4.0702,4.4808,4.8588,5.8106,5.7931,5.8126,6.0017,6.6749,6.4486,5.5937,5.0604,4.2626,3.767,4.115,4.8329,5.9945,6.6144,6.9331,7.0399,27.5,27.83,27.76,26.98,25.84,24.88,23.84,23.46,23.91,24.84,25.9,26.95,6.64,6.41,7.22,8.04,8.1,8.55,8.57,7.98,7.92,7.77,7.51,6.68
-16.5,157.5,5.1298,5.2195,4.4575,4.4623,4.1302,3.9034,4.2053,4.6198,5.442,5.3899,5.4636,5.8524,6.5515,6.4234,5.5476,5.034,4.2614,3.8208,4.1191,4.8221,5.9129,6.4615,6.7678,6.9586,27.76,28.02,27.96,27.3,26.29,25.4,24.37,24.02,24.48,25.34,26.3,27.25,6.41,6.18,6.88,7.8,8.25,8.75,8.87,8.32,8.28,8.0,7.62,6.54
-15.5,157.5,4.9337,5.0381,4.3411,4.2355,3.9989,3.6706,4.0286,4.4206,5.0088,4.9889,5.1686,5.6518,6.3864,6.3065,5.5598,4.9649,4.2838,3.8522,4.104,4.7911,5.7775,6.2568,6.5681,6.8138,27.97,28.2,28.13,27.61,26.74,25.95,24.96,24.68,25.11,25.91,26.75,27.52,6.13,5.96,6.57,7.48,8.33,8.91,9.13,8.58,8.58,8.14,7.63,6.36
